Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
fv5t-xnef-ussb,06-04-2021 11:22:46 UTC,wang abithin,Agago,Arum,Alwar,Owolo,2.6917314,33.1663348,,2009,NGO,25-50,Washing cars/ motorcycles,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,GI,Non-functional,,low yielding source,more than one year,,8-16 hours,more than 3 minutes,,,Very poor,At least one tap/ spout not in use- abandoned or never used,poor,,,Poor,,,,,,,,,,,all parts has broken down,,,Catchment protection or fence,,,,,,,,,Livelihood activities at the catchment (e.g. brickmaking),,,,,,,,,no one,,Yes,WUC/ WSC,No,,No,9,0,4,1,No,,,Yes,No,,,No,,,,,,,,,
h4c2-kpwf-53kx,06-04-2021 11:43:26 UTC,Dong Mission BH,Agago,Patongo Town Council,Forest,Forest Central,2.76108398,33.3050194,,2005,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,few pipes,,few pipes,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,8,8,8,3,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,90,Yes
umnk-cp8r-udbx,06-04-2021 11:32:52 UTC,lapwomo public tap stand,Agago,Parabongo,Aywee,Lapwomo,2.95361587,33.2890416,,2019,NGO,,Drinking water,,Never,No,Public Tapstand,,No,,,,,,,,,,,Functional and not in use,Barely functioning (almost not functioning),,,About 1 week in total,,,Fair (moderate),,Very poor,At least one tap/ spout not in use- abandoned or never used,fair,,,,,,,,,,,,,,broken taps,,,,,Meters,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,safe drinking water for drinking,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,7,2,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,75,Yes
jjqb-gabn-pnap,06-04-2021 11:40:15 UTC,Bombo west B/h,Agago,Kuywee,Bombo,B0mbo West,3.03546056,33.2017876,,2010,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,60,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,more than 3 minutes,Very poor,Very poor,,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,less pipes hence water takes longer time to come. problem in cylinder too.,Drainage channel,Pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,6,4,2,Yes,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,60,No
8tvc-dr8u-rwhf,06-04-2021 11:42:30 UTC,wang Agol,Agago,Arum,Alwar,Owolo,2.69050924,33.1829866,,2008,NGO,25-50,Washing cars/ motorcycles,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,Unknown,8-16 hours,more than 3 minutes,,,Good,Active all are in use,poor,,,Very poor,,,,,,,,,,,all parts has been broke down,,,Catchment protection or fence,,,,,,,,,Livelihood activities at the catchment (e.g. brickmaking),,Contamination from soil or metals,,Sometimes,Always - problems with odour,Rarely,not good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,0,2,0,No,,,No,No,During construction of the water source,,No,No,,,,,,,,
e4tx-9jf0-m0q9,06-04-2021 12:09:58 UTC,Lapwomo borehole,Agago,Parabongo,Pacer,Biwang,2.95188795,33.286183,,2008,NGO,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,39,2,Handpump,,GI,Non-functional,,broken handle,6 to 10 days,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,fair,Good,Very poor,,,,,,,,,,,,drainage channel needs some little repair,Handle,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,1,No,,,Yes,No,,,Yes,,,,,,,,,
x8fn-8byj-9dh3,06-04-2021 12:03:16 UTC,wang neko,Agago,Arum,Alwar,Owolo,2.69255995,33.1918078,,2009,NGO,25-50,Washing cars/ motorcycles,,Never,No,Shallow well,,,,,,,,3,2,Handpump,,GI,Non-functional,,pipes and rod plus cylinder rubber has broken down,more than one year,,more than 8,1-3 minutes,Poor,Good,,,poor,Good,Very poor,,,,,,,,,,,,"handle,pipes,rod and complete cylinder has broken down",Handle,pipes and rod plus rubber has broken down,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,5,3,1,Yes,,,Yes,No,,,No,,,,,,,,,
mn0t-632a-mby3,06-04-2021 12:07:25 UTC,olenyo East,Agago,Laperebong,Orina,Olenyo East,2.72705363,33.4286129,,2012,Government,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Non-functional,,all system dropped in water,more than one year,More than 3 weeks total,,,Good,Good,,,broken,Good,Fair (moderate),,,,,,,,,,,,loose nuts,Spout,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
hdxx-gn08-v4tp,06-04-2021 12:23:34 UTC,Lapwomo Parent school borehole,Agago,Parabongo,Aywee,Lapwomo,2.95897074,33.2921803,,2017,Government,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,very poor,Good,Good,,,,,,,,,,,,bolts and nuts,Drainage channel,"bolts, nuts and pipes",,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,clean safe water for drinking,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,75,Yes
28qx-89dp-f3d2,06-04-2021 12:31:10 UTC,wang ocen ps,Agago,Arum,Alwar,Owolo,2.69221701,33.1982792,,2006,NGO,less than 25,Washing cars/ motorcycles,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,GI,Functional in use,Barely functioning (almost not functioning),,,Unknown,more than 8,more than 3 minutes,,,Fair (moderate),At least one tap/ spout not in use-repair needed,poor,,,Very poor,,,,,,,,,,,all parts has broken down,,,Catchment protection or fence,all parts has broken down,,,,,,,,Children playing,,No concern- water is clean,,Never,Never,Rarely,good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,4,4,2,No,,,No,No,1 to 5 years ago,,No,No,,,,,,,,
yew1-ngh0-jh7q,06-04-2021 12:52:06 UTC,parabongo tek South B/h,Agago,Kuywee,Bombo,Lapak,3.05174718,33.212966,38785,2012,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,66,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Fair (moderate),Fair (moderate),,,poor,Poor,Fair (moderate),,,,,,,,,,,,"Water takes longer time to come,this is because some of the pipes has holes and have been removed.",,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,10,7,2,No,No,Yes,Yes,No,1 to 5 years ago,,Yes,Yes,,Fixed tariff per month,,2000,,,50,Yes
21dt-pwj5-gfb0,06-04-2021 12:56:58 UTC,Owolo bh,Agago,Arum,Alwar,Owolo,2.70183206,33.2049731,47012,2017,Government,25-50,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,pipes and rod plus bearing has broken down,,pipes and rod plus bearing has broken down,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Sometimes,Never,Rarely,good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,3,3,1,No,No,Yes,Yes,No,1 to 5 years ago,,Yes,Yes,,Fixed tariff per month,,1000,,,80,Yes
y672-1csk-puhb,06-04-2021 13:21:39 UTC,Akado Central,Agago,Kalongo Town Council,Akado,Akado Central,3.03483291,33.3686321,20480,2004,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,Fair (moderate),Good,,,fair,Good,Good,,,,,,,,,,,,More pipes and cylinder needs replacement .,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,more pipes needed and cylinder,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,60,Yes
v1k6-54su-8s8h,06-04-2021 13:33:11 UTC,Omot West bh,Agago,Arum,Alwar,Omot West,2.70521533,33.1710095,,2016,Government,25-50,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,Fair (moderate),Good,,,good,Good,Good,,,,,,,,,,,,pipes and rod has rusted,Apron,pipes and rod has broken down,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Always - problems with colour,Never,Rarely,good quality water,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,8,5,3,1,Yes,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,100,Yes
e9ed-y0h5-6hxx,06-04-2021 13:37:50 UTC,sub district,Agago,Kalongo Town Council,Akado,Sub District,3.03320181,33.3681872,19877,2004,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,PVC,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,more than 8,1-3 minutes,Fair (moderate),Good,,,good,Fair (moderate),Good,,,,,,,,,,,,more pipes needed and cylinder,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,more pipes needed and cylinder to replace the old ones,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,65,Yes
049y-0n17-ebfr,06-04-2021 14:00:37 UTC,Parabongo tek,Agago,Kuywee,Bombo,Bombo Central,3.06461503,33.2161436,26945,2008,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,69,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,more than 3 minutes,Poor,Por,,,poor,Poor,Fair (moderate),,,,,,,,,,,,"Hard to pump, longer time for water to come out due to less pipes down since some were spoiled and removed.",Pumphead,"Pipes,Rubber.",,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from soil or metals,,Always - problems with colour,Sometimes,Rarely,Hygiene problem.,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,5,2,Yes,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,2000,,,60,Yes
qgr8-we67-jc9r,07-04-2021 06:01:45 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.02559662,33.3601512,,2012,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,39,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Poor,Good,,,good,Good,Good,,,,,,,,,,,,Less pipes that is why it's giving less water and pumping is hard,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,more pipes needed and cylinder needed,Caretaker,,Unpaid,Yes,Private operator,Yes,Yes,No,10,10,4,2,No,No,Yes,Yes,No,During construction of the water source,Yes,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
xweb-tq9y-tcj2,07-04-2021 06:21:17 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.0211404,33.36003,,2012,NGO,,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,14,2,Handpump,,PVC,Non-functional,,pipes and cylinder,more than one year,,,,Very poor,Very poor,,,verypoor drainage channel,Very poor,Very poor,,,,,,,,,,,,pipes and cylinder needs replacement,Pedestal,,,,,,,,,,Animal excreta nearby,,,,,,,,,Private operator,,,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
w475-v3wb-1rea,07-04-2021 06:40:59 UTC,Apii oguru bh,Agago,Arum,Alwar,Apii Oguru,2.67524789,33.2014981,30011,2009,NGO,50-100,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Non-functional,,"complete cylinder,pipes,rods,rubber,bearing,gesture,pumphead,handle and spouts has broken down",more than one year,,more than 8,1-3 minutes,Fair (moderate),Good,,,poor,Very poor,Very poor,,,,,,,,,,,,"all inner plus pumphead,handle and bearing has broken down",Spout,all inner parts has broken down,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,3,5,1,Yes,,,Yes,No,,,Yes,,,,,,,,,
ewbh-82ah-s1c7,07-04-2021 06:39:58 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.024693,33.3627261,,2013,Private,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,PVC,Non-functional,,more pipes needed and cylinder,more than one year,,,,Very poor,Good,,,poor drainage channel,Good,Good,,,,,,,,,,,,more pipes needed and cylinder,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Private operator,,,No,Private operator,,Yes,,,,,,,,,,,,No,,,,,,,,,,
mq1v-75va-18c4,07-04-2021 07:07:24 UTC,Jail B/h,Agago,Kuywee,Labwordwong,Jai Central,3.04514518,33.2688324,,2008,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,0,Handpump,,Stainless Steel,Non-functional,,Handle is broken and some pipes are spoiled.,11 to 20 days,More than 3 weeks total,,,Very poor,Por,,,very poor,Very poor,Very poor,,,,,,,,,,,,"Broken handle, Apron and handle are at a very poor state.",Pumphead,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,Yes,,,Yes,Yes,,,Yes,,,,,,,,,
c1pw-mhgh-n1s3,07-04-2021 07:08:49 UTC,Nimaro,Agago,Kalongo Town Council,Akado,Nimaro,3.02830562,33.3688532,,2021,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,47,2,Handpump,,PVC,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Excellent,Excellent,,,good,Excellent,Excellent,,,,,,,,,,,,None it's still new,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
ruwx-wrv1-cqpu,07-04-2021 07:15:56 UTC,Tin gin okeli bh,Agago,Arum,Agelech,Tin Gin Okeli,2.67374141,33.1916612,,2012,Government,50-100,Washing cars/ motorcycles,,Never,No,Shallow well,,,,,,,,3,2,Handpump,,GI,Non-functional,,all inner parts has broken down,more than one year,,8-16 hours,1-3 minutes,Very poor,Good,,,poor,Good,Good,,,,,,,,,,,,"pipes,complete cylinder,rods,rubber has broken down",Drainage channel,pipes and rod plus cylinder rubber has broken down,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,3,1,No,,,Yes,No,,,No,,,,,,,,,
t3wr-24tg-c9cx,07-04-2021 07:33:10 UTC,Akado South,Agago,Kalongo Town Council,Akado,Akado Central,3.02694184,33.3724953,,2004,NGO,50-100,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,7,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,less than 1 minute,Very poor,Fair (moderate),,,poor drainage channel,Fair (moderate),Fair (moderate),,,,,,,,,,,,Rodes and cylinder needs replacement,Pumphead,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Never,Rarely,more pipes needed and cylinder and also nats,Caretaker,,Unpaid,No,Private operator,,No,,,,,,,,,,,During construction of the water source,No,,No,,,,,,,,
pywa-815x-bn9s,07-04-2021 07:36:16 UTC,School borehole Atece primary,Agago,Omot,Atece,Okwala mara,2.66823333,33.2062167,,2007,Government,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,12,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Fair (moderate),Good,,,poor,Poor,Good,,,,,,,,,,,,"rode ,pipes and bearing need replacement",Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Sometimes,drainage system needs improvement,,school,,Yes,WUC/ WSC,Yes,,Yes,9,9,4,4,Yes,,,No,No,During construction of the water source,,No,No,,,,,,,,
bq8d-16cw-argr,07-04-2021 07:39:37 UTC,jungle Bh,Agago,Patongo Town Council,Pece,Jungle,2.75968227,33.3050225,,2009,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,12,2,Handpump,,GI,Non-functional,,"Bearing worne out, pipes rusted",more than 20 days but less than one year,More than 3 weeks total,,,Fair (moderate),Good,,,incomplete and no soakpit,Fair (moderate),Good,,,,,,,,,,,,headpump has no cover exposing the chain to rusting,Pumphead,,,,,,,,,,Latrine nearby,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
ejtw-6ck2-3jqp,07-04-2021 07:50:35 UTC,Akado South,Agago,Kalongo Town Council,Akado,Akado Central,3.02844234,33.3733932,,2002,NGO,,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,3,2,Handpump,,PVC,Non-functional,,pipes and pumphead needs replacement,more than one year,,,,Very poor,Por,,,poor drainage,Fair (moderate),Fair (moderate),,,,,,,,,,,,Pipes and cylinder needs replacement,Spout,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,Private operator,,Yes,,,,,,,,,,,,No,,,,,,,,,,
hjp7-1p2k-h3pf,07-04-2021 07:50:54 UTC,Shallow well Atecce primary,Agago,Omot,Atece,Okwala mara,2.67109667,33.2059183,,2002,NGO,,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,6,2,Handpump,,GI,Non-functional,,Headpump and handle are missing,more than one year,,,,Very poor,Por,,,poor,Very poor,Very poor,,,,,,,,,,,,Breoken apron,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,6,4,2,No,,,Yes,No,,,No,,,,,,,,,
wbdt-brv5-hf8u,07-04-2021 07:52:38 UTC,Atece Primary School Tank,Agago,Omot,Atece,Okwala mara,2.66835143,33.2071299,,2012,Government,,,,Never,No,Rain water harvesting tank,,,,100000,,,,,,,,,,,Gutters are missing and taps are broken and stolen,more than one year,It was never broken down,,,,,,,Good,,,,,,3,30000,0,0,Very poor,No filtration system exists,,Fair (moderate),gutters are missing and taps are missing,,,,,,,,,Taps,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
n8ru-9vf8-gr9b,07-04-2021 07:59:01 UTC,wang cesiomeny bh,Agago,Arum,Alela,Bat Ayom,2.66098151,33.1779148,24035,2006,NGO,25-50,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,"Complete cylinder,pipes,rods,rubber,bearing and plate has broken down",more than one year,,8-16 hours,1-3 minutes,Fair (moderate),Good,,,poor,Good,Good,,,,,,,,,,,,all inner parts has broken down,Drainage channel,"complete cylinder,rods,rubber,pipes and plate cover has broken down",,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,3,3,1,Yes,,,Yes,No,,,No,,,,,,,,,
r8c5-36r7-bpm2,07-04-2021 08:03:40 UTC,Jai Parents school B/h,Agago,Kuywee,Labwordwong,Biwang,3.04908391,33.2648025,33833,2011,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Poor,Por,,,poor,Fair (moderate),Very poor,,,,,,,,,,,,Water takes longer time to come due to problem in the cylinder. Handle wearing off. 4 pipes with holes. Rods wearing off.,Handle,"cylinder, Rods, pipes.",,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,0,0,Yes,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,100,,,50,Yes
fd91-myxd-v0dv,07-04-2021 07:58:22 UTC,Akado South,Agago,Kalongo Town Council,Akado,Akado Central,3.02858157,33.3737295,,2003,NGO,,Water for other household and domestic use,,Never,No,Shallow well,,,,,,,,3,2,Handpump,,PVC,Non-functional,,pipes and cylinder and also pumphead missing,more than one year,,,,Fair (moderate),Very poor,,,poor,Very poor,Very poor,,,,,,,,,,,,pipes and cylinder needs replacement,Spout,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
k4hs-nays-973u,07-04-2021 08:07:58 UTC,Dog mission BH,Agago,Patongo Town Council,Forest,Forest Central,2.76125151,33.3042584,,2005,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,Stainless Steel,Non-functional,,few pipes,more than one year,More than 3 weeks total,,,Good,Good,,,fair,Good,Good,,,,,,,,,,,,installing pipes,,installing pipes,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,Yes,11,5,10,2,No,,,Yes,No,,,Yes,,,,,,,,,
2mhq-dmfj-kktg,07-04-2021 08:11:21 UTC,tee yaa,Agago,Arum,Alela,Bat Ayom,2.66420251,33.1813887,25113,2007,NGO,25-50,Agriculture (crops or animals),,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,"complete cylinder and pipes,rods,rubber has broken down",more than one year,,8-16 hours,more than 3 minutes,Very poor,Good,,,poor,Good,Good,,,,,,,,,,,,all inner parts has broken down,Drainage channel,pipes and rod plus cylinder rubber has broken down,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,2,6,2,Yes,,,Yes,No,,,No,,,,,,,,,
p432-be25-ktk6,07-04-2021 08:24:13 UTC,Tangi Amati buru,Agago,Omot,Atece,Amati Buru,2.65998667,33.198235,,2009,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,18,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,more than 8,1-3 minutes,Fair (moderate),Fair (moderate),,,poor,Good,Good,,,,,,,,,,,,pipes need to be added,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,none apart from piors that needto be added,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,12,9,6,2,No,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,1000,,,,,,,
